kohde;jasen;tutkk;pkvp;pvknro;T1;tytyy;Vastaaja;sp;IKAL1;PERHEV;ELVAIHE1;TOIMINTA;ISCO3KA_2;TOLA8KA_2;SOSE;TYOAIKA;TKES;YLSIV;KASTE_2;suuralue2;kunry;TIHEYS;ASALUE;KOKO_2;ANSIOLKM_2;HDESI;V46
50169;1;5;1;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;3;C;1;0.67;1;2;0;6;0
50169;2;5;1;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;3;C;1;0.67;1;2;0;6;0
50170;1;9;3;1;NA;;1;2;7;3;7;4;;;NA;NA;NA;3;3;D;3;0.40;2;2;0;4;0
50170;2;9;3;1;NA;;1;1;7;3;7;4;;;NA;NA;NA;3;NA;D;3;0.40;2;2;0;4;0
50171;1;5;2;1;1;3;1;1;6;4;6;1;6;12;5;2;NA;2;3;B;3;0.63;3;4+;2;4;0
50171;2;5;2;1;NA;;2;1;9;3;7;5;;;NA;NA;NA;3;NA;B;3;0.63;3;4+;2;4;0
50171;3;5;2;1;NA;;2;2;8;3;7;5;;;NA;NA;NA;3;NA;B;3;0.63;3;4+;2;4;0
50171;4;5;2;1;1;3;1;2;5;4;6;1;8;2;4;2;NA;1;5;B;3;0.63;3;4+;2;4;0
50172;1;5;4;1;NA;;1;1;5;4;6;4;;;NA;NA;NA;2;3;B;2;0.80;3;4+;0;2;0
50172;2;5;4;1;NA;;1;2;5;4;6;2;;;NA;NA;8;1;3;B;2;0.80;3;4+;0;2;0
50172;3;5;4;1;NA;;1;2;1;1;1;3;;;NA;NA;NA;3;NA;B;2;0.80;3;4+;0;2;350
50173;1;6;6;1;1;2;1;2;6;5;3;1;21;13;3;2;NA;1;78;A;1;1.00;1;3;2;3;0
50173;2;6;6;1;NA;;1;1;2;1;1;3;;;NA;NA;1;1;3;A;1;1.00;1;3;2;3;0
50173;3;6;6;1;1;2;1;2;2;1;1;1;12;4;4;2;NA;3;NA;A;1;1.00;1;3;2;3;0
50174;1;10;2;1;NA;;1;1;6;3;7;4;;;NA;NA;NA;3;NA;A;2;0.50;1;2;1;7;0
50174;2;10;2;1;1;3;1;2;7;3;7;1;18;2;5;2;NA;2;3;A;2;0.50;1;2;1;7;0
50175;1;1;4;1;1;2;1;2;6;4;6;1;5;15;4;2;NA;2;3;B;1;1.00;1;4+;2;7;0
50175;2;1;4;1;1;3;1;1;6;4;6;1;14;1;4;2;NA;1;5;B;1;1.00;1;4+;2;7;0
50175;3;1;4;1;NA;;1;1;2;1;1;3;;;NA;NA;NA;2;NA;B;1;1.00;1;4+;2;7;440
50175;4;1;4;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;B;1;1.00;1;4+;2;7;410
50176;1;8;5;1;1;3;1;2;6;3;7;1;8;13;4;2;NA;2;5;D;1;0.67;1;2;2;9;0
50176;2;8;5;1;1;3;1;1;7;3;7;1;9;11;5;2;NA;3;3;D;1;0.67;1;2;2;9;0
50177;1;7;2;1;5;3;1;2;2;1;1;1;13;4;1;1;NA;2;NA;D;1;0.83;3;4+;4+;6;0
50177;2;7;2;1;2;3;1;1;7;4;6;1;6;11;1;2;NA;3;5;D;1;0.83;3;4+;4+;6;0
50177;3;7;2;1;2;3;1;2;6;4;6;1;21;14;1;2;NA;2;3;D;1;0.83;3;4+;4+;6;0
50177;4;7;2;1;5;3;1;1;2;1;1;1;13;4;1;1;NA;2;NA;D;1;0.83;3;4+;4+;6;0
50178;1;6;3;1;NA;;1;2;6;3;7;2;;;NA;NA;7;1;78;A;2;0.50;2;3;0;5;0
50179;1;9;4;1;1;3;1;1;7;3;7;1;1;16;5;1;NA;3;NA;A;1;0.67;1;2;2;6;0
50179;2;9;4;1;1;3;1;2;7;3;7;1;16;2;5;2;NA;3;NA;A;1;0.67;1;2;2;6;0
